Model,Set,Criteria fulfilled (%),Predicted time of deliver (week),Prediction of PROM by DI-VNN,True time of delivery (average week)
PC-GBM,Internal calibration split,11.904761904761903,9,nonevent,8
PC-GBM,Internal calibration split,11.904761904761903,10,event,3
PC-GBM,Internal calibration split,11.904761904761903,10,nonevent,10
PC-GBM,Internal calibration split,11.904761904761903,11,event,6
PC-GBM,Internal calibration split,11.904761904761903,11,nonevent,10
PC-GBM,Internal calibration split,11.904761904761903,12,event,7
PC-GBM,Internal calibration split,11.904761904761903,12,nonevent,14
PC-GBM,Internal calibration split,11.904761904761903,13,event,0
PC-GBM,Internal calibration split,11.904761904761903,13,nonevent,17
PC-GBM,Internal calibration split,11.904761904761903,14,nonevent,16
PC-GBM,Internal calibration split,11.904761904761903,15,event,9
PC-GBM,Internal calibration split,11.904761904761903,15,nonevent,21
PC-GBM,Internal calibration split,11.904761904761903,16,event,42
PC-GBM,Internal calibration split,11.904761904761903,16,nonevent,24
PC-GBM,Internal calibration split,11.904761904761903,17,event,32
PC-GBM,Internal calibration split,11.904761904761903,17,nonevent,23
PC-GBM,Internal calibration split,11.904761904761903,18,nonevent,26
PC-GBM,Internal calibration split,11.904761904761903,19,nonevent,26
PC-GBM,Internal calibration split,11.904761904761903,20,event,40
PC-GBM,Internal calibration split,11.904761904761903,20,nonevent,31
PC-GBM,Internal calibration split,11.904761904761903,21,event,31
PC-GBM,Internal calibration split,11.904761904761903,21,nonevent,28
PC-GBM,Internal calibration split,11.904761904761903,22,nonevent,37
PC-GBM,Internal calibration split,11.904761904761903,23,nonevent,30
PC-GBM,Internal calibration split,11.904761904761903,24,nonevent,29
PC-GBM,Internal calibration split,11.904761904761903,25,nonevent,40
PC-GBM,Internal calibration split,11.904761904761903,26,nonevent,37
PC-GBM,Internal calibration split,11.904761904761903,27,nonevent,22
PC-GBM,Internal calibration split,11.904761904761903,28,nonevent,41
PC-GBM,Internal calibration split,11.904761904761903,29,nonevent,46
PC-GBM,Internal calibration split,11.904761904761903,30,nonevent,45
PC-GBM,Internal calibration split,11.904761904761903,31,nonevent,35
PC-GBM,Internal calibration split,11.904761904761903,32,nonevent,43
PC-GBM,Internal calibration split,11.904761904761903,33,nonevent,53
PC-GBM,Internal calibration split,11.904761904761903,34,nonevent,49
PC-GBM,Internal calibration split,11.904761904761903,35,nonevent,47
PC-GBM,Internal calibration split,11.904761904761903,36,nonevent,60
PC-GBM,Internal calibration split,11.904761904761903,37,nonevent,33
PC-GBM,Internal calibration split,11.904761904761903,40,nonevent,39
PC-GBM,Internal calibration split,11.904761904761903,41,nonevent,74
PC-GBM,Internal calibration split,11.904761904761903,42,nonevent,86
PC-GBM,External random split,19.047619047619047,0,event,0
PC-GBM,External random split,19.047619047619047,0,nonevent,1
PC-GBM,External random split,19.047619047619047,1,event,0
PC-GBM,External random split,19.047619047619047,1,nonevent,1
PC-GBM,External random split,19.047619047619047,2,event,0
PC-GBM,External random split,19.047619047619047,2,nonevent,2
PC-GBM,External random split,19.047619047619047,3,event,1
PC-GBM,External random split,19.047619047619047,3,nonevent,1
PC-GBM,External random split,19.047619047619047,4,event,2
PC-GBM,External random split,19.047619047619047,4,nonevent,2
PC-GBM,External random split,19.047619047619047,5,event,3
PC-GBM,External random split,19.047619047619047,5,nonevent,3
PC-GBM,External random split,19.047619047619047,6,event,2
PC-GBM,External random split,19.047619047619047,6,nonevent,4
PC-GBM,External random split,19.047619047619047,7,event,1
PC-GBM,External random split,19.047619047619047,7,nonevent,3
PC-GBM,External random split,19.047619047619047,8,event,3
PC-GBM,External random split,19.047619047619047,8,nonevent,5
PC-GBM,External random split,19.047619047619047,9,event,3
PC-GBM,External random split,19.047619047619047,9,nonevent,1
PC-GBM,External random split,19.047619047619047,10,event,7
PC-GBM,External random split,19.047619047619047,10,nonevent,7
PC-GBM,External random split,19.047619047619047,11,event,6
PC-GBM,External random split,19.047619047619047,11,nonevent,5
PC-GBM,External random split,19.047619047619047,12,event,5
PC-GBM,External random split,19.047619047619047,12,nonevent,10
PC-GBM,External random split,19.047619047619047,13,event,6
PC-GBM,External random split,19.047619047619047,13,nonevent,10
PC-GBM,External random split,19.047619047619047,14,event,10
PC-GBM,External random split,19.047619047619047,14,nonevent,11
