Information,Description
Ontology array z04,x3.y5 0.069 (N342)
Ontology array z04,x3.y6 0.035 
Ontology array z04,x3.y7 -0.023 
Ontology array z04,x2.y1 -0.046 
Ontology array z04,x2.y2 -0.111 (Z018)
Ontology array z04,x2.y3 -0.228 (H811)
Ontology array z04,x2.y4 -0.133 
Ontology array z04,x2.y5 0.007 
Ontology array z04,x2.y6 -0.112 (9131)
Ontology array z04,x2.y7 -0.032 
Ontology array z04,x1.y1 -0.131 
Ontology array z04,x1.y2 0.028 
Ontology array z04,x1.y3 0.013 
Ontology array z04,x1.y4 0.033 
Ontology array z04,x1.y5 -0.174 (O345)
Ontology array z04,x1.y6 0.032 
Ontology array z04,x1.y7 0.008 
Ontology array z05,x7.y1 -0.129 
Ontology array z05,x7.y2 0.105 
Ontology array z05,x7.y3 0.041 
Ontology array z05,x7.y4 0.135 (M545)
Ontology array z05,x7.y5 -0.03 
Ontology array z05,x7.y6 -0.015 
Ontology array z05,x7.y7 -0.037 
Ontology array z05,x6.y1 -0.006 
Ontology array z05,x6.y2 0.105 
Ontology array z05,x6.y3 0.518 (8876)
Ontology array z05,x6.y4 0.057 
Ontology array z05,x6.y5 0.071 
Ontology array z05,x6.y6 0.088 (K291)
Ontology array z05,x6.y7 0.14 
Ontology array z05,x5.y1 -0.03 
Ontology array z05,x5.y2 0.103 
Ontology array z05,x5.y3 0.159 (O411)
Ontology array z05,x5.y4 0.218 
Ontology array z05,x5.y5 0.279 
Ontology array z05,x5.y6 0.282 (Z710)
Ontology array z05,x5.y7 0.189 (M069)
Ontology array z05,x4.y1 -0.047 
Ontology array z05,x4.y2 0.17 (Z369)
Ontology array z05,x4.y3 0.009 
Ontology array z05,x4.y4 0.281 (K089)
Ontology array z05,x4.y5 0.223 
Ontology array z05,x4.y6 0.229 
Ontology array z05,x4.y7 0.377 
Ontology array z05,x3.y1 0.017 (Z000)
Ontology array z05,x3.y2 0.108 
Ontology array z05,x3.y3 0.356 
Ontology array z05,x3.y4 0.304 
Ontology array z05,x3.y5 0.253 (O901)
Ontology array z05,x3.y6 0.264 
Ontology array z05,x3.y7 -0.03 
Ontology array z05,x2.y1 -0.166 
Ontology array z05,x2.y2 0.036 (Z014)
Ontology array z05,x2.y3 0.024 
Ontology array z05,x2.y4 0.205 
Ontology array z05,x2.y5 0.287 
Ontology array z05,x2.y6 0.133 
Ontology array z05,x2.y7 0.007 
Ontology array z05,x1.y1 0.033 
Ontology array z05,x1.y2 -0.089 
Ontology array z05,x1.y3 0.001 
Ontology array z05,x1.y4 0.229 
Ontology array z05,x1.y5 -0.147 (A09- Yellow Square)
Ontology array z05,x1.y6 -0.119 
Ontology array z05,x1.y7 -0.086 
Ontology array z06,x7.y1 -0.142 
Ontology array z06,x7.y2 -0.125 
Ontology array z06,x7.y3 -0.151 
Ontology array z06,x7.y4 -0.373 
Ontology array z06,x7.y5 -0.117 
Ontology array z06,x7.y6 -0.034 
Ontology array z06,x7.y7 -0.01 
Ontology array z06,x6.y1 -0.067 
Ontology array z06,x6.y2 -0.205 
Ontology array z06,x6.y3 -0.189 (N920)
Ontology array z06,x6.y4 0.047 
Ontology array z06,x6.y5 -0.176 
Ontology array z06,x6.y6 -0.137 (O321)
Ontology array z06,x6.y7 0.007 
Ontology array z06,x5.y1 -0.245 
Ontology array z06,x5.y2 -0.271 
Ontology array z06,x5.y3 -0.274 
Ontology array z06,x5.y4 -0.175 
Ontology array z06,x5.y5 -0.086 
Ontology array z06,x5.y6 0.078 (9775)
Ontology array z06,x5.y7 0.055 
Ontology array z06,x4.y1 -0.191 
Ontology array z06,x4.y2 -0.184 
Ontology array z06,x4.y3 -0.223 
Ontology array z06,x4.y4 -0.199 (T384)
Ontology array z06,x4.y5 -0.189 
Ontology array z06,x4.y6 -0.137 
Ontology array z06,x4.y7 -0.131 
Ontology array z06,x3.y1 -0.034 (6909)
Ontology array z06,x3.y2 -0.246 
Ontology array z06,x3.y3 -0.26 
Ontology array z06,x3.y4 -0.284 
Ontology array z06,x3.y5 -0.173 (P229)
Ontology array z06,x3.y6 -0.073 
Ontology array z06,x3.y7 -0.216 
Ontology array z06,x2.y1 -0.157 
Ontology array z06,x2.y2 -0.178 (J069- Yellow Square)
Ontology array z06,x2.y3 -0.227 
Ontology array z06,x2.y4 -0.142 
Ontology array z06,x2.y5 -0.193 
Ontology array z06,x2.y6 -0.156 
Ontology array z06,x2.y7 -0.154 
Ontology array z06,x1.y1 0 
Ontology array z06,x1.y2 -0.127 
Ontology array z06,x1.y3 -0.178 
Ontology array z06,x1.y4 -0.095 
Ontology array z06,x1.y5 -0.394 (H527)
Ontology array z06,x1.y6 -0.231 
Ontology array z06,x1.y7 -0.112 
Ontology array z07,x7.y1 -0.017 
Ontology array z07,x7.y2 0.132 
Ontology array z07,x7.y3 0.034 
Ontology array z07,x7.y4 0.023 
